year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2025,envelope,1050.8606529027074,535.1115519128359,85.13777272800151,1671.1099775435448,0.0,0.0,0.0,2.9465749715515193,0.6099254414476303,0.1581731989608786,3.714673611960028,1.5057727546691897,3379.6613622491504,5055.991786159325,4625.0,46481.0,51536.99178615933,430.9917861593249,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",51536.99178615933,-432.9917861593276,4623.0
2026,envelope,1062.278055279366,540.2561255709855,85.91890142394145,1688.4530822742931,5.207253434881772,2.2316800435207593,7.438933478402531,6.338814913993416,2.3141218320700663,0.9639937507579365,9.616930496821418,4.626608222007752,3414.7361459244353,5124.87170039596,4625.0,47075.0,52199.87170039596,499.87170039596003,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",52199.87170039596,-1095.871700395961,4029.0
2027,envelope,1072.9673968501136,545.0177129889352,86.6384117215644,1704.623521560613,15.098350809902048,6.470721775672306,21.569072585574354,11.423172566409827,4.720079982082267,2.082134473594111,18.225387022086203,8.45175675201416,3447.4393250095764,5200.309062929864,4625.0,48067.0,53267.30906292987,575.309062929864,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",53267.30906292987,-2163.3090629298677,3037.0
2028,envelope,1083.2968428822192,549.5845008063712,87.32628443612924,1720.2076281247196,27.955435321800856,11.980900852200365,39.93633617400122,16.188260013287326,7.273139207128085,3.3676511996943423,26.829050420109755,23.278761054039006,3478.9567017996455,5289.208477572515,4625.0,50222.0,55511.208477572516,664.2084775725152,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",55511.208477572516,-4407.208477572516,882.0
2029,envelope,1095.5990216758378,555.1391395532581,88.17039477255156,1738.9085560016476,44.32875797787241,18.99803913337389,63.32679711124629,21.713153990445992,10.284996571705275,4.9108464462835695,36.90899700843484,40.03655461406708,3516.7775539477284,5395.958458683124,4625.0,52729.0,58124.958458683126,770.9584586831243,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",58124.958458683126,-7020.958458683126,-1625.0
2030,envelope,1105.3248800716215,559.3758029293535,88.80447182210271,1753.5051548230776,62.39309592465299,26.73989825342271,89.1329941780757,28.241680880647635,14.131097732620068,7.042445993007264,49.41522460627497,54.18353251075745,3546.297790030307,5492.534696148493,4625.0,54839.0,60331.53469614849,867.5346961484929,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",60331.53469614849,-9227.53469614849,-3735.0
2031,envelope,1116.5965750316504,564.3828963682644,89.56019198432467,1770.5396633842397,81.47741134836917,34.9188905778725,116.39630192624168,32.20439882734177,17.505698966814208,9.478313257004794,59.18841105116077,63.57032557010651,3580.748467234502,5590.44316916625,4625.0,56766.0,62356.44316916625,965.4431691662503,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",62356.44316916625,-11252.443169166247,-5662.0
2032,envelope,1125.4442124785157,568.1534532323907,90.11905411466688,1783.7167198255731,102.87009685146595,44.08718436491397,146.95728121637993,36.52727235494258,21.352231509180715,12.426086510366623,70.30559037448992,72.77496869945527,3607.397813550065,5681.152373665964,4625.0,58595.0,64276.152373665966,1056.1523736659638,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",64276.152373665966,-13172.152373665966,-7491.0
2033,envelope,1138.0200729596984,573.7940357393117,90.97385440699439,1802.7879631060043,122.50466328247633,52.50199854963272,175.00666183210905,39.474614226852694,24.513634443684555,15.032205653972952,79.0204543245102,79.42951280879976,3645.967593463457,5782.21218553488,4625.0,60383.0,66165.21218553488,1157.2121855348796,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",66165.21218553488,-15061.212185534881,-9279.0
2034,envelope,1144.9744628318163,576.5893795779855,91.37693467559082,1812.9407770853925,142.09896744466033,60.899557476283,202.99852492094334,43.83698312292132,28.954898214143963,18.32738476977977,91.11926610684505,85.71975705814363,3666.500696362333,5859.279021533658,4625.0,62022.0,67881.27902153366,1234.2790215336581,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",67881.27902153366,-16777.279021533657,-10918.0
2035,envelope,1151.5835190672212,579.2036789068397,91.75091998546425,1822.5381179595252,162.69982832750446,69.72849785464477,232.42832618214925,48.262094054577744,33.656668450164695,21.779586734009563,103.698349238752,89.0105991268158,3685.910407613247,5933.58580012049,4625.0,63564.0,69497.58580012049,1308.5858001204897,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",69497.58580012049,-18393.58580012049,-12460.0
2036,envelope,1157.9247666147778,581.6765387941941,92.10211878726577,1831.7034241962376,179.60998123459473,76.97570624339775,256.58568747799245,54.655742344210935,37.52491385893401,24.317260020611002,116.49791622375595,90.49208522415162,3704.4463698046347,5999.725482926771,4625.0,64498.0,70497.72548292678,1374.7254829267713,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",70497.72548292678,-19393.725482926777,-13394.0
2037,envelope,1164.5833316561532,584.3020472592004,92.47710538893377,1841.3624843042874,200.0095307733068,85.71837033141722,285.727901104724,59.52522410240262,40.9751506409949,26.834802172799236,127.33517691619676,90.54065853881836,3723.980902349766,6068.947123213793,4625.0,65440.0,71508.94712321379,1443.947123213793,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",71508.94712321379,-20404.947123213788,-14336.0
2038,envelope,1168.8063949622722,585.7001706217158,92.6575267085214,1847.1640922925094,218.70464426503443,93.73056182787191,312.43520609290636,64.30272574883492,44.13813530748835,29.157359908813888,137.59822096513716,90.54065853881836,3735.7141040062675,6123.452281895638,4625.0,66297.0,72420.45228189563,1498.4522818956384,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",72420.45228189563,-21316.452281895632,-15193.0
2039,envelope,1173.2082924058564,587.1838844884727,92.85125993902956,1853.2434368333588,233.68220826845726,100.14951782933882,333.8317260977961,67.08595094400503,46.77574529706962,31.508101233007014,145.36979747408168,90.54065853881836,3748.0090014867496,6170.994620430804,4625.0,67096.0,73266.9946204308,1545.9946204308044,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",73266.9946204308,-22162.994620430807,-15992.0
2040,envelope,1177.4765475590627,588.5966690810694,93.03354741536576,1859.106764055498,245.5998398410733,105.25707421760283,350.8569140586761,72.0211944079465,50.142581665132944,34.10846862392386,156.27224469700332,90.54065853881836,3759.867024437469,6216.643605787464,4625.0,68092.0,74308.64360578747,1591.6436057874644,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",74308.64360578747,-23204.643605787467,-16988.0
2041,envelope,1181.76739745144,590.0167852358009,93.21676820735493,1865.000950894596,256.2961825926217,109.84122111112356,366.13740370374524,78.42601068405178,52.63726060038048,35.77014997591651,166.83342126034876,90.54065853881836,3771.7874580352973,6260.299892432806,4625.0,68641.0,74901.29989243281,1635.2998924328058,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",74901.29989243281,-23797.299892432813,-17537.0
2042,envelope,1186.1786837870732,591.4929911929105,93.40862045546093,1871.0802954354447,269.35457844865255,115.43767647799393,384.7922549266465,82.53142002871759,54.554319771786325,37.22879445797028,174.3145342584742,90.54065853881836,3784.0823555157795,6304.810098675163,4625.0,69273.0,75577.81009867517,1679.8100986751633,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",75577.81009867517,-24473.810098675167,-18169.0
2043,envelope,1190.2799672113397,592.8106994025337,93.57521949108322,1876.6658861049568,285.4863274917656,122.35128321075669,407.8376107025223,86.59263674021918,56.40743862579404,38.755309621760006,181.75538498777323,90.54065853881836,3795.378682642517,6352.178222976587,4625.0,69940.0,76292.17822297658,1727.1782229765868,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",76292.17822297658,-25188.17822297658,-18836.0
2044,envelope,1194.2862038122692,594.0774144210762,93.73356045632893,1882.0971786896741,295.48479091698965,126.63633896442411,422.12112988141376,87.74394590356472,57.069848810533244,39.83663912738346,184.65043384148143,90.54065853881836,3806.362956533709,6385.772357485097,4625.0,70530.0,76915.7723574851,1760.772357485097,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",76915.7723574851,-25811.772357485097,-19426.0
2045,envelope,1197.746654622632,595.0693818185077,93.84836555841186,1886.6644019995515,301.29597838426747,129.12684787897177,430.42282626323924,91.82074027860033,59.04658241609252,41.40514208580642,192.27246478049926,90.54065853881836,3815.5997323058486,6415.500083887957,4625.0,71176.0,77591.50008388795,1790.5000838879569,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",77591.50008388795,-26487.50008388795,-20072.0
2046,envelope,1201.0525518273198,595.9817422150188,93.95045433142064,1890.9847483737592,302.772261574569,129.7595406748153,432.53180224938427,95.60026490213433,60.481596780846985,42.53766219036632,198.61952387334762,90.54065853881836,3824.337222901115,6437.013955936423,4625.0,71762.0,78199.01395593642,1812.0139559364234,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",78199.01395593642,-27095.013955936418,-20658.0
2047,envelope,1204.7135208684656,597.0673598847478,94.07968710000867,1895.860567853222,300.97388023365625,128.98880581442413,429.9626860480804,102.08038120719945,61.86374295213059,43.09213114963282,207.03625530896286,90.54065853881836,3834.1981051443445,6457.598272893428,4625.0,72034.0,78491.59827289343,1832.5982728934277,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",78491.59827289343,-27387.598272893432,-20930.0
2048,envelope,1208.0630174432692,597.9956549494789,94.18396106859862,1900.2426334613467,305.6308826612438,130.9846639976759,436.6155466589197,104.98305113322122,62.279067427583925,43.369940804535005,210.63205936534018,90.54065853881836,3843.0604170338297,6481.091315058255,4625.0,72322.0,78803.09131505825,1856.0913150582546,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",78803.09131505825,-27699.09131505825,-21218.0
2049,envelope,1211.493156585029,598.9610620519544,94.29391890032316,1904.7481375373068,311.56285693500087,133.52693868642896,445.08979562142986,108.14593993716987,62.80496934849264,43.749556482041115,214.70046576770363,90.54065853881836,3852.1723715117505,6507.251428977009,4625.0,72716.0,79223.251428977,1882.2514289770088,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",79223.251428977,-28119.251428977004,-21612.0
2050,envelope,1214.964771397827,599.944102057192,94.40648739216402,1909.3153608471832,313.10624390667977,134.18839024571992,447.2946341523997,108.01456031948749,62.46432179545779,43.93303739283574,214.41191950778102,90.54065853881836,3861.4091472838895,6522.971720330072,4625.0,73069.0,79591.97172033007,1897.9717203300715,False,,0.0,envelope,"Envelope (LocalRel, component maxima)",79591.97172033007,-28487.971720330068,-21965.0
